ans_id,question_id,content
27,27,您好，郑州康好医院专家建议：患者要按时、按量、准确无误的服药，防止少服、漏服和多服。不能随便更换药物和剂量，应在医生指导下进行。长期服药，癫痫完全控制后，才可考虑逐渐停药，减药过程也需1年以上，切忌短期或突然停药，病程越长，剂量越大，停药越要缓慢，少数患者可能需要终身服药。
28,28,只有那三分钟表现异常吗？之前或者之后有无其他异常的表现。比如睡眠，记忆，平时和你们说话的内容，有没有表现特别敏感，总怀疑别人议论她等等。。。。你母亲也有52岁了，不知道还有无其他疾病，特别是心脑血管方面的。有无癫痫病史。。。需要引起重视，因为根据你所说的，“持续近三分钟，过后不知发生了什么”这个就要考虑是否为一个短暂的意识障碍了。建议你们先去做个动态脑电图。
29,29,您好，癫痫病治疗是要花很长时间的，是需要严格遵医嘱按时口服抗癫痫药物进行治疗的，饮食只是辅助治疗，要多吃蔬菜水果、牛奶、鸡蛋、瘦肉等，忌食咖啡、浓茶、可乐、羊肉、狗肉等刺激性的食物，避免熬夜及劳累，保证充足的睡眠时间，严禁烟酒。
30,30,因为治疗癫痫的过程比较漫长，所以癫痫患者必须配合医生，坚持的去治疗，千万不能干放弃治疗。一般是在发作完全控制2～5年后，癫痫患者才能够考虑用不用去停药。专家表示：癫痫治疗要合理用药，药量一开始不要很大。如果发现一种药物的治疗效果不是很好，再换另一种药物。癫痫病的治疗是要根据患者的病情状况来选择适合的治疗方式治疗的，这样才是有希望痊愈的。郑州康好医院在线为您解答，希望对患者有所帮助。
31,31,假性癫痫发作是由于心理、生理障碍导致的不适，不具备癫痫样放电的假性抽搐发作或其他行为异常，假性发作多指心因性假性癫痫发作，一般运动性发作表现为典型的强直阵挛发作，颤抖发作性表现为肢体不停发作性颤抖，失张力发作表现为突然摔倒。假性发作在临床上常见，20%的患者误诊为癫痫发作。
32,32,可以得，适应症；癫痫：既可作为单药治疗，也可作为添加治疗：用于治疗全面性癫痫：包括失神发作、肌阵挛发作、强直阵挛发作、失张力发作及混合型发作，特殊类型综合征
33,33,癫痫病并不属于精神病，这是人们的一种误解，癫痫病是一种常见的大脑神经系统疾病，是由于受损脑神经异常放电引发的反复发作性疾病，癫痫病患者发作的时候常会说话语无伦次，性格也会出现变化，还会出现反复性手脚抽搐痉挛发作。虽然癫痫不是精神病，但是危害确不亚于精神病，一点确诊就要及时治疗，以免日后加重带来生命危险。
34,34,你好，癫痫病是由于各种原因引起的，大脑内神经元之间的异常放电导致的全身一系列肌肉抽搐，这个是无法预防的。只能是通过抗癫痫药物控制发作。如果大发作以后，要尽量，避免咬伤舌。在口腔内放置压舌板。让孩子避免出现在危险场所。选择有效的药物治疗是关键。通常需要长期服用。
35,35,根据您提供的情况，如果有癫痫史的话就试试高压氧，如果没有癫痫的话就不用了，建议您先进行心理干预治疗，然后再配合药物治疗。
36,36,癫痫是大脑神经元突发性异常放电，导致短暂的大脑功能障碍的一种慢性疾病。而癫痫发作是指脑神经元异常和过度超同步化放电所造成的临床现象。其特征是突然和一过性症状癫痫是大脑神经元突发性异常放电，导致短暂的大脑功能障碍的一种慢性疾病。而癫痫发作是指脑神经元异常和过度超同步化放电所造成的临床现象。其特征是突然和一过性症状
37,37,你好，脑部兴奋性过高的神经元突然、过度的重复放电，导致脑功能突发性、暂时性紊乱，临床表现为短暂的感觉障碍，肢体抽搐，意识丧失，行为障碍或植物神经功能异常，称为癫痫发作。癫痫需要去医院检查，明确诊断，然后对症治疗！
38,38,你好，癫痫病病是一种慢性的脑部神经系统疾病，发作时间非常短暂，并不会持续太长的时间。虽然癫痫发作时有类似精神病的症状，但也仅仅是发作性的，发作过后可恢复正常。精神疾病的病因是患者遭受刺激或者自身心理比较脆弱导致的，他们的神经系统多为完好的，且精神病患者的发作时间往往比癫痫患者更加持久，有的甚至是长久性的、不间断的发病。所以癫痫发作与精神发作还是很好区分的。
39,39,你好，孩子有癫痫病史，应该长期服药，癫痫病的治疗有药物治疗和手术治疗两种，您应该根据您孩子的实际情况选择合适的治疗方案，平时应该控制孩子的情绪，吃饭不要吃的太饱，也不让孩子有饥饿感，生酮饮食疗法有助于控制癫痫
40,40,癫痫是由于脑神经异常放电引起。临床表现形式多种多样，一般可分为大发作，失神发作，部分发作等。治疗以药物治疗为主，比如卡马西平，丙戊酸钠等。严重时可能需要进行手术治疗
41,41,你好，很高兴回答你这个问题，一般来说癫痫的情况的话，希望你及时就诊于当地正规的神经内科，很进一步检查，在明确癫痫的嗯种类，今年一般来说能分成四五类，而且每次发作的时候控制的用药啥而不一样，希望你进一步行脑电图方面的检查，明确癫痫的原因和和用药控制，希望回答对你有所帮助，谢谢。
42,42,你好，从你描述这个情况来看，主要是患有原发性癫痫病的情况，这是由于脑部异常放电引起来的。建议你的这个情况，这种癫痫病治疗起来难度是比较大的，如果是坚持治疗的话，可以减少发作的次数，直至痊愈，
43,43,你好，是不会，癫痫是大脑的异常放电引起的，而精神病是心理方面不健康而引起的的疾病，这两种病没有任何关联。
44,44,癫痫发作是由于神经元异常放电所致，只有修复了受损的神经元细胞，才能彻底杜绝癫痫的发作。建议去专业的癫痫病医院，采用修复受损神经元细胞的治疗方案针对受损神经元进行一个靶向的有效修复，可以完全修复受损神经元细胞，彻底杜绝癫痫的发作。
45,45,你好，癫痫患者经常会在任何时间、地点、环境下且不能自我控制地突然发作，容易出现摔伤、烫伤、溺水、交通事故等。意见建议：癫痫患者应切忌过饥或过饱，勿暴饮暴食。过度饥饿会使血糖水平降低，而低血糖往往诱发癫痫发作，而过饱后血糖水平会快速升高，体内胰岛素分泌增加，加速葡萄糖代谢，血糖水平先高后低，波动很大，也会诱发癫痫。
46,46,建议各位治疗癫痫病的朋友，一定要到正规的医院，一定要清楚如何治疗和控制癫痫病，由于癫痫病具有一定的可治性，所以患者要掌握癫痫病的具体情况之后，积极采取应对措施，是可以更好促进癫痫病恢复的，要知道早期治疗癫痫病的意义所在。
47,47,郑州康好医院专家建议患者积极配合医生用药，切忌中断或中途停药，同时要注意保持患者的情绪稳定，避免或减少不良外界因素的刺激，对患者病情的恢复会有很大的帮助，一定要对治疗有信心，好吗？愿早日摆脱病魔！
48,48,患者。原发性癫痫性疾病。是可以治好的。我的建议是去正规医院的，专门治疗癫痫病的专科医院。做一些检查。明确诊断后，医生根据诊断结果。给患者开药。连续吃抗癫痫病药物，两年。会治好的。
49,49,癫痫在少数情况下，有不定期遗传影响，对大多数影响不大，影响大小主要与病因有关。原发性患者亲戚中，患者发病率为3—4，继发性患者中为0—1，说明原发性影响大，血缘关系越近发病率越高。父母双方均有癫痫或有一子女已发病，则第三代的发病率为20，因此，原发病人虽可结婚，但应限制生育。
50,50,你好，告知病人本病是多发病、常见病，只要注意避免诱因，积极配合治疗绝大多数是可以控制的，帮助其克服自卑心理保持自信自尊的良好心理状态，祝您早日康复！
51,51,孩子患有癫痫病一定要引起重视，避免耽误病情导致更严重的后果发生。频繁的癫痫发作会患者的大脑有一定的损伤，造成患者智力不同程度的影响，从而影响患者的学习和生活，尤其是对于孩子来说，情况尤为严重。孩子一旦被诊断为癫痫病，要尽快的进行治疗，一定要在正规医院进行详细的检查，根据其检查的结果，量身制定出最适合的治疗方案。只有进行有针对性的治疗以后，患者的病情才能得到最佳的治疗效果，不然盲目的治疗
52,52,您好，以往有癫痫发作史，精神症状呈发作性，每次发作的情况基本雷同。伴有不同程度的意识障碍，对诊断有重要参考价值。对病程持续较久而症状不典型者，则需多次重复脑电图检查，必要时尚可投予抗癫痫药物作诊断性治疗。如精神症状及脑电图在用药后均有改善，则可作为诊断的重要依据。诊断时还应区别精神障碍是属癫痫发作前或发作后，这对治疗有参考价值
53,53,你好，这位朋友，根据您的描述癫痫病是比较常见的神经科疾病，是由于各种原因引起的大脑异常放电所致，临床表现为肢体痉挛性抽搐，伴有意识丧失，目前以抗癫痫药物治疗为主，平时饮食需要避免兴奋性饮料。
54,54,癫痫病的治疗是要选择适合自己的疗法来进行治疗，癫痫病的预防要根据癫痫病发病因素来预防，建议尽快到正规专业的癫痫病医院进行治疗，祝您早日康复！
55,55,您好，原发性癫痫是慢性反复发作性短暂脑功能失调综合征。是以脑神经元异常放电引起反复痫性发作为特征。癫痫是神经系统常见疾病之一。
56,56,得了癫痫病以后要注意不要有太大的情绪波动，不要得了癫痫病就感觉生活灰暗。您要保持身心愉悦，癫痫病不是不能治疗的疾病，只要积极治疗是可以治疗好的。目前癫痫病可以通过药物治疗、物理治疗和手术治疗三种方法医治癫痫病
57,57,你好，癫痫病人不能从事以下活动：驾驶机动车辆与飞机，高空工作、近水工作，围绕重型机械作业、电工、消防作业、直接接触强酸、强碱、剧毒物品等危险工作，也不能从事发作时危害他人健康的职业：如外科医生、消防队员、警察、婴儿室护士、救护人员，此外癫痫患者还禁止参军。
58,58,患者家属要注意分辨痉挛性癫痫发作情况，及时做好护理措施。痉挛性癫痫临床上根据肌肉受累范围可以分为四型：后仰型、旋转型、前屈型、侧屈型，当患者试图维持其头部正位时，大多有头部震颤。这种情况不排除有癫痫病小发的可能性，建议您尽早到正规医院进行头部ct及脑电图的检查看看，先明确病因后再对症治疗，平时注意要多休息，保持情绪稳定，避免熬夜及过度疲劳，保证充足的睡眠，多吃蔬菜水果，加强营养，忌食油腻及辛辣刺激性的食物，严禁烟酒。
59,59,郑州康好医院专家介绍：癫痫病患者除了常规性的治疗方法之外，如果可以加上一些正规食疗方式的话，可以起到事半功倍的作用。患者的饮食护理可以恢复脑组织原来的状态需要长期调理，另外，药物、营养等方面的长期调理，不是一朝一夕就能解决的。尽量避免和杜绝饮酒和吸烟，癫痫病人应限制钾的摄入量，癫痫病人应增加镁的摄入量，癫痫病人应避免食用诱发癫痫的食物。患者食用食品应该多样化而且丰富营养，但癫痫病患者要注意饮食规律。
60,60,你好，如果你已经在医院确诊是癫痫，就要规律服药，不能擅自停药或者减量，平时要注意控制自己的情绪，不要紧张，保证充足的睡眠及休息，如果头痛剧烈，发作频繁，就应该去医院诊治。
61,61,由于癫痫发作时脑补神经元异常放电，失去意识，脑部缺氧，如果发作频繁会对脑部组织造成损伤。
62,62,您好，癫痫疾病的药物治疗是患者都容易接受的一种治疗方法，药物的治疗，主要是用中药从病因上面慢慢的调理的，然后一步步的恢复身体的健康的，但是药物的治疗是比较漫长的，因此，患者在接受治疗的时候就要做好长期治疗的准备，坚持疾病的治疗，那么就会成功的。不管是哪一个年龄段的患者，只要第一时间检查出来，就一定要及时的到正规的医院，配合医生尽快的找到病因，积极的寻找治疗的方法，让疾病可以尽快的控制。
63,63,你好！痫的治疗可分为控制发作、病因治疗、外科治疗、一般卫生及预防五个方面。其中最重要的是控制发作，目前以药物治疗为主。临床上可根据癫痫发作类型选用抗癫痫药物，一旦找到可以完全控制发作的药物和剂量，就应不间断地应用。用药宜从小剂量开始，然后逐渐增量，以既能控制发作，又不产生毒性反应的最小有效剂量为宜。换药宜采取加用新药及递减旧药的原则。不能骤然停药。希望能帮到你！
64,64,癫痫属于神经内科的疾病，具有突发性和反复性，一般来说，癫痫的治疗周期都长达3至5年，期间不要轻易停药，以免癫痫的反复发作，对癫痫患者要及时诊断，及早治疗，治疗越早脑损伤越小，复发越少，建议可根据癫痫发作类型，在大夫的指导下选用抗癫痫药物。
65,65,精神刺激不会使人患有癫痫，精神刺激只是会诱发癫痫，如果孩子现在发现有癫痫的情况，只能说你的孩子之前就有癫痫，只是没有发现而已，癫痫的病因很多。
66,66,根据您描述的情况，癫痫易影响患者的心理状态，需做好患者的心理调节建议患者平时保持良好的生活习惯，避免熬夜，饮食宜清淡，忌辛辣刺激性食物，避免进食过饱，做好患者的心理护理，正确对待疾病
67,67,你好，癫痫会遗传，但不是百分百，具体与病情和性别有关系，原发性癫痫比继发性癫痫高，女性癫痫患比男性癫痫患者高，原发性患者亲戚中，患者发病率为3%-4%，继发性患者中为0-1%，说明原发性影响大，血缘关系越近发病率越高。父母双方都有癫痫或有子女已发病，则第三代的发病率为20%；
68,68,小孩属于一种特殊的群体，同时也是诱发癫痫病发作的高峰群体之一。小儿产生癫痫病的因素有很多的，如发热、过度换气、代谢紊乱、身体之应激反应、情感和精神紊乱、睡眠不足都是儿童癫痫的病因。
69,69,主要特征是漠视情感、拒绝交流、语言发育迟滞、行为重复刻板以及活动兴趣范围的显著局限性，一般在3岁以前就会表现出来。孤独症没有特效药物治疗。早期诊断早期干预可以改善孤独症的预后，因此孤独症治疗一般认为是年龄越小、效果越好。
70,70,过饱过饿还有一次性大量饮水均可诱发癫痫。所以必须要饮食均衡，合理膳食，避免过饱或过饿和一次性大量饮水。还有浓茶咖啡食品可使癫痫发作，要慎吃。
71,71,你好，根据你的情况描述来看，一般性的话，这种情况来说，考虑的话还是一个，创伤性导致的一个癫痫的问题，进行平时的话还是要多注意好这个方面的情况。
72,72,你好。癫痫发作可分为两个主要类型，部分发作和全面性发作。部分性发作起源于一侧脑部，也可扩散至两侧，全面性发作，则同时起源于两侧脑结构。部分性发作又可分为单纯部分性发作和复杂部分性发作。全面性发作分为失神发作，全面强直-阵挛发作。阵挛发作，肌阵挛发作等。
73,73,偏头痛的确切病因尚不清楚，可能与遗传、环境因素有关。癫痫患者容易出现偏头痛。癫痫是由于脑部异常放电引起的，要进一步确诊积极治疗。
74,74,你好，癫痫病人不建议熬夜，癫痫病人要生活规律，适当休息，避免劳累熬夜，剧烈运动等。平素要长期规律服用抗癫痫药物。并定期到医院复查。
75,75,切忌暴饮暴食，过度饥饿，不能喝酒，不能抽烟；不要吃易上火的东西；平时注意：第一：注意饮食，尽量清淡，少肉类，特别是猪肉（猪肥肉绝对禁忌）其他肉类适量。。多吃一些富含维他命b、c的食物，新鲜蔬菜、以及富含矿物质、胆碱的食物，
76,76,因为癫痫病的话是要长期的治疗的，而且长期的服用药物的话，这个抗癫痫药物对孩子肝肾功能，血药浓度，记忆力反应能力等方面都是有一定影响的
77,77,你好，癫痫是大脑神经元异常放电所致的暂时性脑功能失常的慢性疾病。而且患者一定要按时服药，不要随意减药，停药。饮食要清淡，避免吃甜食，辛辣等刺激性食物，不要吃，容易诱发癫痫的食物，如羊肉，狗肉等，要保持心情舒畅，避免受到刺激。
78,78,你好，你有明确的头颅外伤史，属于外伤后继发性癫痫，外伤后脑细胞受损异常放电引起的临床症状，目前很难治愈，必须长期口服药物控制症状发作，用药期间不能随意停药或减少剂量，否则会反复发作。
79,79,根据你描述的这些情况，属于口服抗癫痫药物引起的副作用。建议你，口服药物期间注意多喝水，促进药物在体内排泄，尽量减少药物副作用的出现。平时应该坚持口服药物治疗。
80,80,生酮饮食疗法是研究癫痫治疗饮食的新方法。生酮饮食治疗是高比例的脂肪主要用于蛋白质和碳水化合物的饮食，使体内产生低比例的酮体，这种使身体饥饿的方法必须严格执行饮食和生酮饮食，因而有一定的风险，所以这种治疗方法必须在医院的癫痫患者和癫痫的形式条件允许的条件下进行。
81,81,有癫痫病最好不要做这些违法的事情，容易情绪失控发病。很多职业都是癫痫患者不能做的，比如驾驶员，因为一旦病情发作，后果不堪设想。接触水、火、电和化学品的的工种也不能从事，外科及妇产科医生、护士、消防队员、救生员和高空作业等都是癫痫病患者禁止从事的职业。
82,82,你好考虑是血管神经性头疼，脑供血不足，癫痫病引起的疼痛等，建议您服用正天丸，卡马西平治疗试试，避免劳累情绪激动，适当运动锻炼，必要时到医院做进一步检查与治疗
83,83,复方苯巴比妥溴化钠片的功能是安神定志、解痉、镇静作用。用于各类癫痫与神经官能症。口服，一次1-2片，1日2-3次。
84,84,医治癫痫需要一个较长的过程，短时间是无法治好癫痫的，所以癫痫病人必须要有耐心，在治疗的过程中要配合医生，不要有任何抵触的情绪。长期用药虽然很痛苦，但是癫痫患者千万不要停药，否则会引起癫痫的复发。
85,85,这两种药物都有类似副作用，如果副作用明显偏重，可以试试将拉莫三嗪缓慢减量。考虑是药物副作用所致。饮酒可能是诱因，换药也不容易，需要在缓慢减量的同时，逐渐增加下一种药物。如果能承受的话，个可以尽量坚持，因为持续不发作达到四年，就可以逐渐减量至停药了。
86,86,你好！癫痫性朦胧状态：这些病人表现为意识范围缩小和光天化日晰度下降，在狭窄的意识范围内，病人的行为可相对正常，但可有片断的错觉、幻觉或伴有相应行为，持续几分钟或几个小时突然中止。癫痫精神行为异常表现如任性、暴躁、好激动、胆怯、多疑、破坏和攻击等行为，但以忧郁、社会退缩、强迫性、多动、违纪、残忍等因素居多，智能低下及癫痫发作未能完全控制者尤为显著。
87,87,癫痫这个根据症状和病史还是容易诊断的，原因无非遗传，外伤，产伤这些目前也没有好的治疗方法的，无非就是吃药控制，并且需要定期神经内科复查，和自闭症也没有绝对关系
88,88,您好！酒精对癫痫患者的伤害是多种多样的，要尽量戒掉饮酒。首先是抑制脑细胞活力，增加癫痫发作次数。其次是加快癫痫药物代谢影响效果。第三可以增加癫痫药副作用。
89,89,癫痫病是一组由多种原因引起的慢性脑功能障碍临床综合症。患者发作时会突然摔倒，神志不清，口吐白沫，两眼上翻，全身抽搐或四肢抽动。也有些癫痫病人发病时并不惊厥，而表现为发呆、不动，行为异常，情感或精神异常，或者有腹痛、头痛、呕吐等植物神经功能紊乱症状。
90,90,你好，癫痫患者如果经常抽搐，容易引发脑实质的改变，也有可能脑部其他疾病引起的癫痫发作，建议患者及时的去精神科医院治疗，药物控制。
91,91,您好，成年人癫痫治愈率还是比较高的，超过半数的患者在长期的药物治疗后会得已痊愈，但还是有部分患者未能完全康复。而这部分患者亦可通过手术治疗获得新生。
92,92,癫痫不属于精神病的，患者的精神是属于正常的情况，主要是病情急性发作的时候，会有意识丧失等情况的发生治疗上主要是应用一些丙戊酸钠卡马西平类的药物进行调理治疗，同时要保证良好的情绪，良好的休息和睡眠，就会减少症状的发作。
93,93,个人建议您到专业的神经科进行必要的检查，尤其是脑电图检查，对分析病情很有帮助，一般的，如果没有特殊情况，治疗上首选药物疗法，但选择药物一定要有针对性，所以应该由专家指导使用。祝您阿姨早日康复。
94,94,您好！青少年癫痫病应根据专家指导，合理选择综合治疗方案，癫痫病患者应保持良好稳定的心态，克服不良情绪，科学饮食，合理而持久自我保健。还要坚持治疗：通过定时的医院的检查，调整癫痫病的治疗方案，多的有效的治疗的同时，也不会出现治疗的副作用，帮助我们安全的治疗癫痫病。癫痫患者饮食尽可能做到多样化，多吃富有营养、易于消化的食物，如面食、豆类、瘦肉、鸡蛋、鱼、牛奶等，尤其应多食用豆类、新鲜蔬菜、水果、乳制品，这些富含高蛋白质和磷脂的食品，有助于脑功能的恢复和减少发作次数。
95,95,癫痫病的治疗，除了药物治疗以外，平时的预防保健也很重要，应该注意情绪的稳定，避免紧张激动，避免受刺激，避免劳累，保证休息，不要喝容易让人兴奋的饮品，所以您感觉癫痫病加重，应该先寻找原因，然后再对症纠正
96,96,药物治疗是最常见的治疗方法，基本上病人只要严格按照医生的指导建议下服药，是可以很好的抑制病情的，需要注意的是儿童病人比成人会更有抗拒性，因为药的味道不好或其他问题容易出现儿童故意漏服。
97,97,癫痫病的危害比较大，一些病程比较长的癫痫病患者甚至出现了行为怪异的现象，主要的表现就是不喜欢说话、性格内向、容易发脾气、寿命缩短等等。还有一些癫痫病患者发作的时候疾病来的非常突然，这种情况是容易造成意外伤害的，比如在路上跌倒摔伤、组织器官损害等等。
98,98,您好，癫痫疾病的药物治疗是患者都容易接受的一种治疗方法，药物的治疗，主要是用中药从病因上面慢慢的调理的，然后一步步的恢复身体的健康的，但是药物的治疗是比较漫长的，因此，患者在接受治疗的时候就要做好长期治疗的准备，坚持疾病的治疗，那么就会成功的。不管是哪一个年龄段的患者，只要第一时间检查出来，就一定要及时的到正规的医院，配合医生尽快的找到病因，积极的寻找治疗的方法，让疾病可以尽快的控制。
99,99,癫痫性人格改变与癫痫发作病程及癫痫大发作相关。这是因为癫痫长期频繁发作，尤其是癫痫大发作，致使脑组织受损；同时，大脑电生理恶性循环后果及癫痫发作对患者学习等方面的影响，进一步加速癫痫性人格改变的形成。
100,100,癫痫突然发作很容易造成意外，所以癫痫患者在找工作时候要找那些在工作中忽发，自己不会受到意外伤害。
101,101,好，一定频率的闪光刺激可诱发出异常脑电图或癫痫发作。最好不看电影或电视，或者戴墨色眼镜看，以减少刺激强度。尤其是曾有过闪光诱发癫痫发作的患儿更应禁忌。平时没事的时候可以多找朋友聊聊天，谈谈心，也可以出去散散心，调节好自己的心态。
